#Parameter|Line   1|Line   2|Line   3|Line   4|Line   5|Line   6|Line   7|Line   8|Line   9|Line  10|Line  11|Line  12|Line  13|Line  14|Line  15|Line  16|Line  17|Line  18|Line  19|Line  20|Line  21|Line  22|Line  23|Line  24|Line  25|Line  26|Line  27|Line  28|Line  29|Line  30|Line  31|Line  32|Line  33|Line  34|Line  35|Line  36|Line  37|Line  38|Line  39|Line  40|Line  41|Line  42|Line  43|Line  44|Line  45|Line  46|Line  47|Line  48|Line  49|Line  50|Line  51|Line  52|Line  53|Line  54|Line  55|Line  56|Line  57|Line  58|Line  59|Line  60|Line  61|Line  62|Line  63|Line  64|Line  65|Line  66|Line  67|Line  68|Line  69|Line  70|Line  71|
  0.13385  0.01948  0.01948  0.03229  0.04401  0.04401  0.07075  0.07075  0.07489  0.07489  0.11106  0.11106  0.11661  0.11661  0.12694  0.12744  0.12744  0.14805  0.14805  0.15144  0.15144  0.16743  0.16743  0.18557  0.18749  0.18749  0.19558  0.19558  0.19572  0.19572  0.22166  0.22166  0.22969  0.22969  0.24233  0.24233  0.25079  0.25079  0.25458  0.25458  0.25990  0.27907  0.28103  0.28103  0.30397  0.30397  0.30987  0.30987  0.31572  0.31572  0.32090  0.32090  0.32282  0.32282  0.34099  0.34099  0.34334  0.34334  0.35728  0.35728  0.36335  0.36335  0.37104  0.37104  0.39337  0.39337  0.40261  0.40261  0.41285  0.41285  0.41579  0.41579 
  0.26769  0.03689  0.03689  0.06003  0.07912  0.07912  0.12191  0.12191  0.12744  0.12744  0.12776  0.12776  0.14799  0.14799  0.18027  0.18027  0.18511  0.18799  0.18799  0.19557  0.19557  0.20329  0.22943  0.22943  0.23502  0.23502  0.25451  0.25451  0.25501  0.25501  0.27907  0.28167  0.28167  0.29130  0.29130  0.30971  0.30971  0.31503  0.31503  0.31921  0.31921  0.32171  0.32171  0.34808  0.34808  0.35703  0.35703  0.36305  0.36305  0.36852  0.37059  0.37059  0.39085  0.39085  0.40123  0.40123  0.41068  0.41068  0.41530  0.41530  0.41885  0.41885  0.43693  0.43693  0.45704  0.45704  0.45744  0.45975  0.45975  0.46756  0.46756  0.47102 
  0.40154  0.05142  0.05142  0.08180  0.10445  0.10445  0.12744  0.12744  0.14788  0.14788  0.15399  0.15399  0.16123  0.16123  0.18429  0.19553  0.19553  0.21941  0.21941  0.22517  0.22517  0.22892  0.22892  0.24305  0.25439  0.25439  0.27783  0.27783  0.27907  0.29338  0.29338  0.30941  0.30941  0.31354  0.31354  0.31577  0.31577  0.31909  0.31909  0.33647  0.33647  0.35807  0.35807  0.36247  0.36247  0.36967  0.36967  0.38310  0.38310  0.39442  0.39442  0.39755  0.39755  0.39886  0.40391  0.40493  0.40493  0.41433  0.41433  0.42043  0.42043  0.42152  0.42152  0.43187  0.43187  0.43980  0.43980  0.45744  0.46039  0.46255  0.46255  0.46471 
  0.53538  0.06313  0.06313  0.09838  0.12236  0.12236  0.12743  0.12743  0.14772  0.14772  0.17242  0.17242  0.18264  0.18264  0.18305  0.19548  0.19548  0.22804  0.22804  0.24080  0.24080  0.24251  0.24251  0.25418  0.25418  0.26179  0.27907  0.30141  0.30141  0.30275  0.30275  0.30293  0.30548  0.30548  0.30889  0.30889  0.30919  0.30919  0.31024  0.31024  0.33396  0.33396  0.35252  0.35252  0.35879  0.35879  0.36014  0.36014  0.36143  0.36143  0.36769  0.36769  0.37563  0.37563  0.37838  0.38239  0.38239  0.38514  0.38514  0.38816  0.38816  0.40272  0.40272  0.41177  0.41177  0.41188  0.41250  0.41250  0.41749  0.41749  0.41887  0.43536 
  0.66923  0.07245  0.07245  0.11105  0.12743  0.12743  0.13522  0.13522  0.14748  0.14748  0.17994  0.17994  0.18126  0.19541  0.19541  0.19688  0.19688  0.22647  0.22647  0.24048  0.24048  0.24234  0.25385  0.25385  0.25693  0.25693  0.26668  0.26772  0.26772  0.27907  0.28506  0.28506  0.29441  0.29441  0.29688  0.29688  0.30146  0.30146  0.30798  0.30798  0.31533  0.31533  0.32865  0.32865  0.33514  0.33514  0.34450  0.34450  0.34899  0.34899  0.35037  0.35037  0.35163  0.35225  0.35225  0.35453  0.35950  0.35950  0.36704  0.36704  0.36829  0.36829  0.36961  0.37072  0.37072  0.37114  0.37114  0.37238  0.37367  0.37367  0.38035  0.38035 
  0.80307  0.07991  0.07991  0.12088  0.12742  0.12742  0.14467  0.14467  0.14714  0.14714  0.17748  0.17748  0.17874  0.19529  0.19529  0.20195  0.20673  0.20673  0.22337  0.22337  0.23116  0.23116  0.24075  0.24075  0.25328  0.25328  0.25946  0.25946  0.26247  0.26638  0.26638  0.27732  0.27732  0.27907  0.27964  0.27964  0.28153  0.28153  0.29298  0.30049  0.30049  0.30055  0.30055  0.30576  0.30576  0.30629  0.30629  0.31104  0.31104  0.32013  0.32013  0.32397  0.32397  0.32954  0.32954  0.33038  0.33038  0.33592  0.33808  0.33808  0.34144  0.34447  0.34630  0.34630  0.35604  0.35604  0.36003  0.36003  0.36056  0.36056  0.37196  0.37196 
  0.93692  0.08591  0.08591  0.12741  0.12741  0.12863  0.14664  0.14664  0.15179  0.15179  0.16841  0.16841  0.17310  0.17525  0.19512  0.19512  0.21376  0.21376  0.21642  0.21642  0.22011  0.22011  0.22136  0.22136  0.24958  0.24958  0.25203  0.25203  0.25224  0.25224  0.25270  0.25270  0.25316  0.25408  0.26394  0.26394  0.26508  0.26508  0.27008  0.27008  0.27278  0.27278  0.27907  0.28557  0.28557  0.28602  0.28602  0.30313  0.30313  0.30505  0.30646  0.30646  0.31722  0.31722  0.31925  0.31925  0.32733  0.32733  0.32827  0.32827  0.32839  0.32952  0.32952  0.33365  0.34395  0.34621  0.34752  0.34752  0.34897  0.34897  0.35127  0.35127 
  1.07076  0.09081  0.09081  0.12740  0.12740  0.13485  0.14587  0.14587  0.15147  0.15727  0.15727  0.15775  0.15775  0.17055  0.19482  0.19482  0.20277  0.20277  0.20688  0.20688  0.21023  0.21023  0.21889  0.21889  0.22242  0.22242  0.22574  0.23129  0.23129  0.24374  0.24374  0.24466  0.24668  0.24668  0.24711  0.24711  0.25016  0.25016  0.26075  0.26075  0.27042  0.27042  0.27185  0.27185  0.27721  0.27721  0.27790  0.27907  0.28993  0.28993  0.29860  0.29860  0.30293  0.31049  0.31049  0.31455  0.31455  0.31752  0.32018  0.32018  0.32137  0.32137  0.32509  0.32586  0.32863  0.32863  0.33266  0.33266  0.33315  0.33315  0.33608  0.33608 
  1.20461  0.09484  0.09484  0.12739  0.12739  0.13464  0.13989  0.14457  0.14457  0.14798  0.14798  0.16156  0.16156  0.16455  0.18606  0.18606  0.19427  0.19427  0.19596  0.19596  0.19722  0.19722  0.20189  0.20189  0.20664  0.21610  0.21610  0.22271  0.22271  0.22972  0.22972  0.23530  0.23990  0.23990  0.24564  0.24564  0.24654  0.24654  0.25310  0.25310  0.25656  0.26100  0.26100  0.26288  0.26288  0.26927  0.27694  0.27694  0.27907  0.28032  0.28032  0.29430  0.29430  0.30327  0.30327  0.30344  0.30344  0.30951  0.30951  0.30985  0.31277  0.31277  0.31312  0.31390  0.31390  0.31524  0.31686  0.31686  0.31699  0.31699  0.32215  0.32215 
  1.33846  0.09819  0.09819  0.12117  0.12737  0.12737  0.13966  0.13966  0.14214  0.14214  0.14402  0.15752  0.16497  0.16497  0.17109  0.17109  0.17772  0.17772  0.18758  0.18758  0.19303  0.19309  0.19309  0.19487  0.19487  0.20609  0.20609  0.21857  0.21857  0.22557  0.22557  0.22624  0.23635  0.23635  0.24098  0.24234  0.24239  0.24239  0.24430  0.24430  0.24658  0.24658  0.25209  0.25209  0.25977  0.25977  0.26610  0.26610  0.27907  0.28133  0.28133  0.28251  0.28251  0.29118  0.29118  0.29498  0.29498  0.29695  0.29695  0.30061  0.30061  0.30189  0.30208  0.30208  0.30370  0.30424  0.30436  0.30436  0.30726  0.30726  0.31532  0.31532 
